Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
COc1ccccc1C1CCNCC1	mol_ID_225	COc1ccccc1C1CCNCC1	mol_ID_225	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Cc1cc(N)no1	mol_ID_226	Cc1cc(N)no1	mol_ID_226	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C1=C[C@H]2O[C@@H]1c1ccccc12	mol_ID_227	C1=C[C@H]2O[C@@H]1c1ccccc12	mol_ID_227	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Oc1ccc(C2CCNCC2)cc1	mol_ID_229	Oc1ccc(C2CCNCC2)cc1	mol_ID_229	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Clc1cnccn1	mol_ID_23	Clc1cnccn1	mol_ID_23	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Clc1cnccn1	mol_ID_23	C=Cc1cnccn1	mol_ID_29	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
Clc1cnccn1	mol_ID_23	Brc1cnccn1	mol_ID_31	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Clc1cnccn1	mol_ID_23	Ic1cnccn1	mol_ID_39	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Clc1cnccn1	mol_ID_23	C#Cc1cnccn1	mol_ID_63	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.71	1.00
CCc1nccn1CC(=O)O	mol_ID_231	CCc1nccn1CC(=O)O	mol_ID_231	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C1CCCc2occc21	mol_ID_232	O=C1CCCc2occc21	mol_ID_232	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Cc1cnc(C(F)(F)F)cn1	mol_ID_233	Cc1cnc(C(F)(F)F)cn1	mol_ID_233	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
CCn1cnc2ccccc21	mol_ID_235	CCn1cnc2ccccc21	mol_ID_235	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C(c1ccncc1)N1CCNCC1	mol_ID_236	O=C(c1ccncc1)N1CCNCC1	mol_ID_236	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
NCC1(c2ccccc2)CCOCC1	mol_ID_237	NCC1(c2ccccc2)CCOCC1	mol_ID_237	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Oc1cnc(-c2ccccc2)nc1	mol_ID_238	Oc1cnc(-c2ccccc2)nc1	mol_ID_238	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ncc[nH]1	mol_ID_24	Brc1ncc[nH]1	mol_ID_8	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.90	1.00
Ic1ncc[nH]1	mol_ID_24	Brc1c[nH]cn1	mol_ID_16	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	0.67
Ic1ncc[nH]1	mol_ID_24	Ic1ncc[nH]1	mol_ID_24	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ncc[nH]1	mol_ID_24	Ic1c[nH]cn1	mol_ID_32	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.95	0.67
Ic1ncc[nH]1	mol_ID_24	Clc1c[nH]cn1	mol_ID_53	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	0.67
Ic1ncc[nH]1	mol_ID_24	C=Cc1cnc[nH]1	mol_ID_64	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	0.67
Ic1ncc[nH]1	mol_ID_24	Clc1ncc[nH]1	mol_ID_71	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.90	1.00
Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1ccn[nH]1	mol_ID_25	Clc1cn[nH]c1	mol_ID_9	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.86	0.67
Brc1ccn[nH]1	mol_ID_25	C#Cc1cn[nH]c1	mol_ID_10	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	0.67
Brc1ccn[nH]1	mol_ID_25	Brc1cn[nH]c1	mol_ID_17	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.95	0.67
Brc1ccn[nH]1	mol_ID_25	C#Cc1ccn[nH]1	mol_ID_18	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.77	1.00
Brc1ccn[nH]1	mol_ID_25	Brc1ccn[nH]1	mol_ID_25	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1ccn[nH]1	mol_ID_25	Ic1cn[nH]c1	mol_ID_33	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.86	0.67
Brc1ccn[nH]1	mol_ID_25	Ic1ccn[nH]1	mol_ID_41	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.91	1.00
Brc1ccn[nH]1	mol_ID_25	C=Cc1cn[nH]c1	mol_ID_65	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.70	0.67
Brc1ccn[nH]1	mol_ID_25	C=Cc1ccn[nH]1	mol_ID_73	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.74	1.00
Ic1ncco1	mol_ID_26	Ic1ncco1	mol_ID_26	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ncco1	mol_ID_26	Brc1nccs1	mol_ID_43	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.56	1.00
Ic1ncco1	mol_ID_26	Ic1nccs1	mol_ID_59	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
C#Cc1cccnc1	mol_ID_27	C=Cc1cccnc1	mol_ID_3	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	1.00
C#Cc1cccnc1	mol_ID_27	Clc1cccnc1	mol_ID_12	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
C#Cc1cccnc1	mol_ID_27	C#Cc1cccnc1	mol_ID_27	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1cccnc1	mol_ID_27	Brc1cccnc1	mol_ID_36	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
C#Cc1cccnc1	mol_ID_27	Ic1cccnc1	mol_ID_60	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
N#Cc1ccncn1	mol_ID_28	N#Cc1ccncn1	mol_ID_28	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1cnccn1	mol_ID_29	Clc1cnccn1	mol_ID_23	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
C=Cc1cnccn1	mol_ID_29	C=Cc1cnccn1	mol_ID_29	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1cnccn1	mol_ID_29	Brc1cnccn1	mol_ID_31	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
C=Cc1cnccn1	mol_ID_29	Ic1cnccn1	mol_ID_39	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
C=Cc1cnccn1	mol_ID_29	C#Cc1cnccn1	mol_ID_63	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.80	1.00
C=Cc1cccnc1	mol_ID_3	C=Cc1cccnc1	mol_ID_3	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1cccnc1	mol_ID_3	Clc1cccnc1	mol_ID_12	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
C=Cc1cccnc1	mol_ID_3	C#Cc1cccnc1	mol_ID_27	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	1.00
C=Cc1cccnc1	mol_ID_3	Brc1cccnc1	mol_ID_36	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
C=Cc1cccnc1	mol_ID_3	Ic1cccnc1	mol_ID_60	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
Ic1ncccn1	mol_ID_30	C#Cc1ncccn1	mol_ID_7	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.65	1.00
Ic1ncccn1	mol_ID_30	Brc1ncccn1	mol_ID_14	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.89	1.00
Ic1ncccn1	mol_ID_30	Ic1ncccn1	mol_ID_30	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ncccn1	mol_ID_30	Clc1ncccn1	mol_ID_69	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.89	1.00
Ic1ncccn1	mol_ID_30	C=Cc1ncccn1	mol_ID_70	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
Ic1ncccn1	mol_ID_30	Clc1ccncn1	mol_ID_77	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.84	0.60
Brc1cnccn1	mol_ID_31	Clc1cnccn1	mol_ID_23	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Brc1cnccn1	mol_ID_31	C=Cc1cnccn1	mol_ID_29	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
Brc1cnccn1	mol_ID_31	Brc1cnccn1	mol_ID_31	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1cnccn1	mol_ID_31	Ic1cnccn1	mol_ID_39	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
