Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
C=Cn1cccn1	mol_ID_57	C#CCn1ccc[n+]1C	mol_ID_144	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.58	1.00
C[n+]1ccc(C#N)cc1	mol_ID_58	C[n+]1ccc(C#N)cc1	mol_ID_58	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Ic1nccs1	mol_ID_59	Brc1ncc[nH]1	mol_ID_8	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.58	0.50
Ic1nccs1	mol_ID_59	Ic1ncc[nH]1	mol_ID_24	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	0.50
Ic1nccs1	mol_ID_59	Ic1ncco1	mol_ID_26	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
Ic1nccs1	mol_ID_59	Brc1nccs1	mol_ID_43	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.90	1.00
Ic1nccs1	mol_ID_59	Brc1cncs1	mol_ID_51	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	0.50
Ic1nccs1	mol_ID_59	Ic1nccs1	mol_ID_59	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Ic1nccs1	mol_ID_59	Clc1ncc[nH]1	mol_ID_71	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.58	0.50
Ic1nccs1	mol_ID_59	C=Cc1nccs1	mol_ID_83	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.67	1.00
Ic1nccs1	mol_ID_59	C=Cc1cncs1	mol_ID_84	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	0.50
Ic1nccs1	mol_ID_59	C#Cc1nccs1	mol_ID_85	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	1.00
Ic1nccs1	mol_ID_59	C#Cc1cncs1	mol_ID_86	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	0.50
Clc1cncnc1	mol_ID_6	Clc1cncnc1	mol_ID_6	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Clc1cncnc1	mol_ID_6	C#Cc1cncnc1	mol_ID_15	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	1.00
Clc1cncnc1	mol_ID_6	Brc1cncnc1	mol_ID_22	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.88	1.00
Clc1cncnc1	mol_ID_6	Ic1cncnc1	mol_ID_38	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.88	1.00
Clc1cncnc1	mol_ID_6	N#Cc1cncnc1	mol_ID_62	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	0.53
Clc1cncnc1	mol_ID_6	C=Cc1cncnc1	mol_ID_78	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.67	1.00
Ic1cccnc1	mol_ID_60	C=Cc1cccnc1	mol_ID_3	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	1.00
